DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,name,playerId,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,id
0,0,4,51.659996,byplayer,1,5,30,1,1,1.5599407,GBL_Renba,account.103b3596564a45d1a58b3bfb723cc319,0,4678.821,0,0.0,0,967,0,1672.1624,5,14,048bb367-49e5-4a19-bed2-edb340c9e962
1,0,1,173.30963,byplayer,0,1,27,1,1,87.21189,Uniq_DaNt3-,account.3c931b793cda4598b8aeb46b4d9c06de,0,1538.4331,0,0.0,0,1209,0,1752.4895,5,11,a609fe7c-1c16-4098-b190-cbc4e237a73e
0,0,0,0.0,byplayer,0,0,55,0,0,0.0,DNW_Salute,account.3d7e95d657224d499002005339c703fb,0,0.0,0,0.0,0,825,0,278.2195,2,12,9c6f298d-a594-4af9-b2c9-1bae16932d0c
4,4,1,524.6739,alive,0,1,3,1,3,54.44713,NH_HSmm,account.871410641fc74e78a81c75a46fe78405,0,2446.2844,0,0.0,0,1908,0,1161.7241,6,1,13f3d6ef-87af-49f3-a769-8212039e28b3
3,0,7,346.2,byplayer,1,3,2,2,4,21.196638,AAA_J4nku2of,account.00d747e690bd4a6281e241c11e1817ff,0,3804.3,0,0.0,0,1513,0,1458.0378,6,8,153bc5c5-56ac-40cf-8af0-3e2e6ba08cf2
0,0,3,82.051056,byplayer,0,0,46,0,0,0.0,AAA_Jayers,account.0d6e3cdc1be54641a2a917b73301a002,0,2713.5413,0,0.0,0,1125,0,1102.569,4,8,dd200610-60fa-4da0-a12a-fb4771ea104c
0,0,1,68.592995,byplayer,0,2,43,0,0,0.0,FaZe_Fexx,account.d2bcd9a691f244fca1f8d1c9ba673c27,0,5552.5127,0,0.0,0,1634,2,1111.5835,3,7,885b4443-6205-47fb-a1da-17d53eb9a98a
0,0,0,0.0,byplayer,0,0,64,0,0,0.0,BBL_Mitraleius,account.7e4e2a0b041d414b9eebad737afed30b,0,0.0,0,0.0,0,83,0,0.0,0,16,18ecf9c0-abd8-4827-b98d-e62e9da445ef
1,1,0,262.49646,byplayer,0,0,26,1,1,525.48004,BRU_Conaxy,account.4b54a2259d454d50a800ee4248a18fd2,0,7471.497,0,0.0,0,1294,0,1087.1737,4,9,93072c50-c08d-40bc-b5db-a90f95bd3171
0,0,4,131.27292,byplayer,0,4,30,1,1,11.088031,FaZe_Fuzzface,account.246d74ca95064c81976e9349b8a55925,0,7733.3867,0,0.0,0,1094,0,634.2771,10,12,c792ca61-170f-4037-8939-efcf52ce8c47
1,0,0,99.99999,byplayer,0,0,51,0,0,0.0,Uniq_Faultlessly,account.4f7424efc4fe4a2589de10dccdc3686d,0,2839.4768,0,0.0,0,514,0,570.4984,4,11,b39f28cb-1c57-4b34-8664-36dde2f3a93f
2,0,2,225.5936,byplayer,0,0,22,1,1,264.0091,AAA_Jayers,account.0d6e3cdc1be54641a2a917b73301a002,0,1866.8475,0,0.0,0,664,0,889.2942,3,6,61e989f2-8210-465f-9950-3d6397900343
1,0,2,218.38458,byplayer,0,2,28,1,1,95.26363,TL_jeemzz,account.8f1797002bb946e49f6ed2dded241335,0,6738.7476,0,0.0,0,1263,0,1189.8269,4,10,8c689e23-fd64-4d19-a167-f91933ec2381
0,0,5,0.0,byplayer,0,0,42,0,0,0.0,KX_Lanren,account.e6e5a4d2c56e4c10bea2d771493c493c,0,2765.1655,0,0.0,0,888,0,1041.7078,5,4,af22babb-0295-4143-8ee2-16e11fc622de
0,0,0,154.48401,byplayer,0,0,10,2,2,106.3657,KX_Cobra,account.ebcf5ff34022402b8f8a578be4bd5d36,0,3786.2524,0,0.0,0,1433,0,1031.812,3,4,09d69db0-6864-4475-97a8-daf74a9963ca
1,1,1,145.10422,byplayer,1,0,32,1,1,32.313427,SSG_Sharpshot4k,account.670f0c169bfe43acb48094a3a1cb42b3,0,4042.4048,0,0.0,0,901,0,625.22253,3,13,1f0dca7d-e85a-495e-9c8d-128adfd5df78
0,0,3,0.0,byplayer,0,5,48,0,0,0.0,TL_ibiza,account.f57dc4ce7e1e43e99ef23ad2aecd1756,0,4023.1912,0,0.0,0,1265,0,1540.0776,3,10,dc38dc14-da83-4e80-8ef6-fbcd345f32ac
